x-axis,F1
Hertz,dBV
+60.000E+03,-77.54741E+00
+60.100E+03,-67.06993E+00
+60.200E+03,-68.50311E+00
+60.300E+03,-70.49631E+00
+60.400E+03,-76.33514E+00
+60.500E+03,-78.25160E+00
+60.600E+03,-69.05707E+00
+60.700E+03,-69.28416E+00
+60.800E+03,-83.67836E+00
+60.900E+03,-83.00500E+00
+61.000E+03,-71.94299E+00
+61.100E+03,-73.74560E+00
+61.200E+03,-76.89097E+00
+61.300E+03,-81.64678E+00
+61.400E+03,-68.78122E+00
+61.500E+03,-69.26165E+00
+61.600E+03,-76.37538E+00
+61.700E+03,-69.57886E+00
+61.800E+03,-76.67838E+00
+61.900E+03,-68.33860E+00
+62.000E+03,-77.83686E+00
+62.100E+03,-74.25552E+00
+62.200E+03,-71.82809E+00
+62.300E+03,-85.99199E+00
+62.400E+03,-75.89405E+00
+62.500E+03,-87.59253E+00
+62.600E+03,-69.24983E+00
+62.700E+03,-74.67606E+00
+62.800E+03,-86.94017E+00
+62.900E+03,-68.41325E+00
+63.000E+03,-69.70349E+00
+63.100E+03,-69.09152E+00
+63.200E+03,-79.40799E+00
+63.300E+03,-78.85329E+00
+63.400E+03,-85.92309E+00
+63.500E+03,-69.93683E+00
+63.600E+03,-69.80154E+00
+63.700E+03,-78.87005E+00
+63.800E+03,-73.35034E+00
+63.900E+03,-71.67742E+00
+64.000E+03,-74.73391E+00
+64.100E+03,-79.89160E+00
+64.200E+03,-77.05809E+00
+64.300E+03,-72.64133E+00
+64.400E+03,-80.77463E+00
+64.500E+03,-67.20578E+00
+64.600E+03,-65.10670E+00
+64.700E+03,-71.84550E+00
+64.800E+03,-73.73291E+00
+64.900E+03,-76.97959E+00
+65.000E+03,-79.89833E+00
+65.100E+03,-94.90674E+00
+65.200E+03,-73.10224E+00
+65.300E+03,-73.50988E+00
+65.400E+03,-76.02950E+00
+65.500E+03,-72.73707E+00
+65.600E+03,-72.78608E+00
+65.700E+03,-75.38827E+00
+65.800E+03,-68.42942E+00
+65.900E+03,-64.17685E+00
+66.000E+03,-74.63404E+00
+66.100E+03,-74.21333E+00
+66.200E+03,-77.34118E+00
+66.300E+03,-70.47877E+00
+66.400E+03,-81.51385E+00
+66.500E+03,-70.75825E+00
+66.600E+03,-76.32520E+00
+66.700E+03,-73.72251E+00
+66.800E+03,-67.33421E+00
+66.900E+03,-67.56743E+00
+67.000E+03,-82.26933E+00
+67.100E+03,-69.72995E+00
+67.200E+03,-81.78498E+00
+67.300E+03,-77.92324E+00
+67.400E+03,-75.58977E+00
+67.500E+03,-74.74519E+00
+67.600E+03,-68.73173E+00
+67.700E+03,-71.50717E+00
+67.800E+03,-73.07848E+00
+67.900E+03,-70.75270E+00
+68.000E+03,-75.95722E+00
+68.100E+03,-80.88483E+00
+68.200E+03,-70.33291E+00
+68.300E+03,-66.69793E+00
+68.400E+03,-72.52197E+00
+68.500E+03,-68.74121E+00
+68.600E+03,-85.46359E+00
+68.700E+03,-71.42083E+00
+68.800E+03,-75.24262E+00
+68.900E+03,-72.10067E+00
+69.000E+03,-74.65433E+00
+69.100E+03,-77.43472E+00
+69.200E+03,-67.87695E+00
+69.300E+03,-72.64912E+00
+69.400E+03,-78.43634E+00
+69.500E+03,-72.85744E+00
+69.600E+03,-71.12017E+00
+69.700E+03,-70.96961E+00
+69.800E+03,-69.88627E+00
+69.900E+03,-70.35249E+00
+70.000E+03,-68.96968E+00
+70.100E+03,-78.22747E+00
+70.200E+03,-75.58761E+00
+70.300E+03,-84.78560E+00
+70.400E+03,-75.91821E+00
+70.500E+03,-77.96482E+00
+70.600E+03,-68.03366E+00
+70.700E+03,-67.15008E+00
+70.800E+03,-72.83867E+00
+70.900E+03,-84.89042E+00
+71.000E+03,-72.23679E+00
+71.100E+03,-77.57214E+00
+71.200E+03,-72.72950E+00
+71.300E+03,-66.28859E+00
+71.400E+03,-72.85476E+00
+71.500E+03,-83.22483E+00
+71.600E+03,-76.96375E+00
+71.700E+03,-67.53607E+00
+71.800E+03,-81.05921E+00
+71.900E+03,-68.68802E+00
+72.000E+03,-69.38630E+00
+72.100E+03,-66.38889E+00
+72.200E+03,-82.94718E+00
+72.300E+03,-73.71620E+00
+72.400E+03,-74.36005E+00
+72.500E+03,-76.93968E+00
+72.600E+03,-76.36823E+00
+72.700E+03,-85.56127E+00
+72.800E+03,-75.19173E+00
+72.900E+03,-75.04613E+00
+73.000E+03,-78.58893E+00
+73.100E+03,-74.77540E+00
+73.200E+03,-72.27144E+00
+73.300E+03,-87.96891E+00
+73.400E+03,-77.48399E+00
+73.500E+03,-80.48741E+00
+73.600E+03,-69.06861E+00
+73.700E+03,-68.09216E+00
+73.800E+03,-76.42107E+00
+73.900E+03,-70.38533E+00
+74.000E+03,-73.09544E+00
+74.100E+03,-74.16170E+00
+74.200E+03,-68.77530E+00
+74.300E+03,-68.50325E+00
+74.400E+03,-77.79209E+00
+74.500E+03,-78.34674E+00
+74.600E+03,-72.13197E+00
+74.700E+03,-70.14569E+00
+74.800E+03,-76.45039E+00
+74.900E+03,-73.81396E+00
+75.000E+03,-76.98608E+00
+75.100E+03,-75.44272E+00
+75.200E+03,-74.81141E+00
+75.300E+03,-69.86729E+00
+75.400E+03,-66.05792E+00
+75.500E+03,-69.90972E+00
+75.600E+03,-77.11067E+00
+75.700E+03,-73.41798E+00
+75.800E+03,-71.40668E+00
+75.900E+03,-66.97502E+00
+76.000E+03,-84.00289E+00
+76.100E+03,-69.86945E+00
+76.200E+03,-68.56211E+00
+76.300E+03,-72.04825E+00
+76.400E+03,-65.78209E+00
+76.500E+03,-73.11816E+00
+76.600E+03,-74.49022E+00
+76.700E+03,-64.06611E+00
+76.800E+03,-72.62834E+00
+76.900E+03,-67.99943E+00
+77.000E+03,-77.41664E+00
+77.100E+03,-68.43194E+00
+77.200E+03,-70.75903E+00
+77.300E+03,-68.51947E+00
+77.400E+03,-73.17560E+00
+77.500E+03,-78.70544E+00
+77.600E+03,-76.02436E+00
+77.700E+03,-70.81982E+00
+77.800E+03,-70.41890E+00
+77.900E+03,-72.99471E+00
+78.000E+03,-78.87409E+00
+78.100E+03,-72.41977E+00
+78.200E+03,-71.15554E+00
+78.300E+03,-77.19396E+00
+78.400E+03,-74.54387E+00
+78.500E+03,-79.30093E+00
+78.600E+03,-73.94986E+00
+78.700E+03,-74.09713E+00
+78.800E+03,-68.21698E+00
+78.900E+03,-77.87513E+00
+79.000E+03,-74.04912E+00
+79.100E+03,-80.40232E+00
+79.200E+03,-84.59414E+00
+79.300E+03,-70.68976E+00
+79.400E+03,-79.16713E+00
+79.500E+03,-68.63494E+00
+79.600E+03,-64.82382E+00
+79.700E+03,-74.12462E+00
+79.800E+03,-73.56959E+00
+79.900E+03,-72.17519E+00
+80.000E+03,-83.60968E+00
+80.100E+03,-83.38545E+00
+80.200E+03,-64.89682E+00
+80.300E+03,-83.24889E+00
+80.400E+03,-71.10117E+00
+80.500E+03,-69.42378E+00
+80.600E+03,-80.28788E+00
+80.700E+03,-93.06495E+00
+80.800E+03,-71.73277E+00
+80.900E+03,-84.06567E+00
+81.000E+03,-68.47374E+00
+81.100E+03,-72.74219E+00
+81.200E+03,-71.18076E+00
+81.300E+03,-71.76250E+00
+81.400E+03,-86.29868E+00
+81.500E+03,-71.06377E+00
+81.600E+03,-68.34233E+00
+81.700E+03,-66.01529E+00
+81.800E+03,-73.01514E+00
