Freq.	V(n003)/V(n001)
1.65958690743755e+002	(1.34419487667202e+001dB,1.79949443030403e+002°)
1.69824365246173e+002	(1.34419487116956e+001dB,1.79948265407201e+002°)
1.73780082874936e+002	(1.34419486540777e+001dB,1.79947060353624e+002°)
1.77827941003891e+002	(1.34419485937444e+001dB,1.79945827230736e+002°)
1.81970085860997e+002	(1.34419485305677e+001dB,1.79944565384718e+002°)
1.86208713666286e+002	(1.34419484644135e+001dB,1.79943274146522e+002°)
1.90546071796323e+002	(1.34419483951416e+001dB,1.79941952831514e+002°)
1.94984459975803e+002	(1.34419483226049e+001dB,1.79940600739117e+002°)
1.99526231496887e+002	(1.34419482466498e+001dB,1.79939217152431e+002°)
2.04173794466952e+002	(1.34419481671149e+001dB,1.79937801337860e+002°)
2.08929613085403e+002	(1.34419480838318e+001dB,1.79936352544718e+002°)
2.13796208950222e+002	(1.34419479966235e+001dB,1.79934870004836e+002°)
2.18776162394954e+002	(1.34419479053053e+001dB,1.79933352932150e+002°)
2.23872113856832e+002	(1.34419478096834e+001dB,1.79931800522286e+002°)
2.29086765276776e+002	(1.34419477095550e+001dB,1.79930211952135e+002°)
2.34422881531991e+002	(1.34419476047076e+001dB,1.79928586379414e+002°)
2.39883291901947e+002	(1.34419474949189e+001dB,1.79926922942222e+002°)
2.45470891568501e+002	(1.34419473799560e+001dB,1.79925220758580e+002°)
2.51188643150956e+002	(1.34419472595751e+001dB,1.79923478925966e+002°)
2.57039578276885e+002	(1.34419471335208e+001dB,1.79921696520836e+002°)
2.63026799189536e+002	(1.34419470015257e+001dB,1.79919872598132e+002°)
2.69153480392690e+002	(1.34419468633099e+001dB,1.79918006190785e+002°)
2.75422870333815e+002	(1.34419467185801e+001dB,1.79916096309197e+002°)
2.81838293126443e+002	(1.34419465670294e+001dB,1.79914141940722e+002°)
2.88403150312659e+002	(1.34419464083364e+001dB,1.79912142049125e+002°)
2.95120922666637e+002	(1.34419462421643e+001dB,1.79910095574034e+002°)
3.01995172040200e+002	(1.34419460681607e+001dB,1.79908001430377e+002°)
3.09029543251357e+002	(1.34419458859566e+001dB,1.79905858507808e+002°)
3.16227766016836e+002	(1.34419456951655e+001dB,1.79903665670117e+002°)
3.23593656929626e+002	(1.34419454953826e+001dB,1.79901421754630e+002°)
3.31131121482589e+002	(1.34419452861842e+001dB,1.79899125571587e+002°)
3.38844156139200e+002	(1.34419450671265e+001dB,1.79896775903518e+002°)
3.46736850452529e+002	(1.34419448377450e+001dB,1.79894371504592e+002°)
3.54813389233573e+002	(1.34419445975529e+001dB,1.79891911099961e+002°)
3.63078054770099e+002	(1.34419443460409e+001dB,1.79889393385078e+002°)
3.71535229097170e+002	(1.34419440826755e+001dB,1.79886817025014e+002°)
3.80189396320558e+002	(1.34419438068979e+001dB,1.79884180653740e+002°)
3.89045144994278e+002	(1.34419435181233e+001dB,1.79881482873410e+002°)
3.98107170553494e+002	(1.34419432157391e+001dB,1.79878722253620e+002°)
4.07380277804110e+002	(1.34419428991039e+001dB,1.79875897330642e+002°)
4.16869383470332e+002	(1.34419425675460e+001dB,1.79873006606658e+002°)
4.26579518801589e+002	(1.34419422203622e+001dB,1.79870048548957e+002°)
4.36515832240163e+002	(1.34419418568160e+001dB,1.79867021589129e+002°)
4.46683592150960e+002	(1.34419414761363e+001dB,1.79863924122228e+002°)
4.57088189614872e+002	(1.34419410775155e+001dB,1.79860754505927e+002°)
4.67735141287195e+002	(1.34419406601083e+001dB,1.79857511059638e+002°)
4.78630092322635e+002	(1.34419402230290e+001dB,1.79854192063633e+002°)
4.89778819368443e+002	(1.34419397653507e+001dB,1.79850795758121e+002°)
5.01187233627268e+002	(1.34419392861024e+001dB,1.79847320342320e+002°)
5.12861383991361e+002	(1.34419387842677e+001dB,1.79843763973505e+002°)
5.24807460249769e+002	(1.34419382587820e+001dB,1.79840124766022e+002°)
5.37031796370249e+002	(1.34419377085307e+001dB,1.79836400790299e+002°)
5.49540873857620e+002	(1.34419371323466e+001dB,1.79832590071814e+002°)
5.62341325190345e+002	(1.34419365290074e+001dB,1.79828690590053e+002°)
5.75439937337152e+002	(1.34419358972334e+001dB,1.79824700277436e+002°)
5.88843655355584e+002	(1.34419352356845e+001dB,1.79820617018222e+002°)
6.02559586074353e+002	(1.34419345429573e+001dB,1.79816438647388e+002°)
6.16595001861477e+002	(1.34419338175825e+001dB,1.79812162949478e+002°)
6.30957344480188e+002	(1.34419330580213e+001dB,1.79807787657430e+002°)
6.45654229034650e+002	(1.34419322626626e+001dB,1.79803310451376e+002°)
6.60693448007591e+002	(1.34419314298192e+001dB,1.79798728957405e+002°)
6.76082975391976e+002	(1.34419305577245e+001dB,1.79794040746314e+002°)
6.91830970918931e+002	(1.34419296445285e+001dB,1.79789243332312e+002°)
7.07945784384132e+002	(1.34419286882942e+001dB,1.79784334171703e+002°)
7.24435960074984e+002	(1.34419276869931e+001dB,1.79779310661541e+002°)
7.41310241300911e+002	(1.34419266385012e+001dB,1.79774170138245e+002°)
7.58577575029177e+002	(1.34419255405945e+001dB,1.79768909876191e+002°)
7.76247116628685e+002	(1.34419243909438e+001dB,1.79763527086262e+002°)
7.94328234724275e+002	(1.34419231871107e+001dB,1.79758018914372e+002°)
8.12830516164092e+002	(1.34419219265413e+001dB,1.79752382439953e+002°)
8.31763771102664e+002	(1.34419206065616e+001dB,1.79746614674401e+002°)
8.51138038202369e+002	(1.34419192243717e+001dB,1.79740712559499e+002°)
8.70963589956073e+002	(1.34419177770394e+001dB,1.79734672965788e+002°)
8.91250938133738e+002	(1.34419162614946e+001dB,1.79728492690912e+002°)
9.12010839355902e+002	(1.34419146745222e+001dB,1.79722168457917e+002°)
9.33254300796983e+002	(1.34419130127559e+001dB,1.79715696913515e+002°)
9.54992586021428e+002	(1.34419112726704e+001dB,1.79709074626303e+002°)
9.77237220955802e+002	(1.34419094505745e+001dB,1.79702298084947e+002°)
9.99999999999991e+002	(1.34419075426028e+001dB,1.79695363696316e+002°)
1.02329299228075e+003	(1.34419055447079e+001dB,1.79688267783578e+002°)
1.04712854805089e+003	(1.34419034526515e+001dB,1.79681006584250e+002°)
1.07151930523760e+003	(1.34419012619955e+001dB,1.79673576248201e+002°)
1.09647819614318e+003	(1.34418989680928e+001dB,1.79665972835613e+002°)
1.12201845430195e+003	(1.34418965660770e+001dB,1.79658192314888e+002°)
1.14815362149687e+003	(1.34418940508524e+001dB,1.79650230560511e+002°)
1.17489755493952e+003	(1.34418914170832e+001dB,1.79642083350863e+002°)
1.20226443461740e+003	(1.34418886591820e+001dB,1.79633746365977e+002°)
1.23026877081237e+003	(1.34418857712980e+001dB,1.79625215185254e+002°)
1.25892541179416e+003	(1.34418827473047e+001dB,1.79616485285112e+002°)
1.28824955169312e+003	(1.34418795807867e+001dB,1.79607552036588e+002°)
1.31825673855640e+003	(1.34418762650262e+001dB,1.79598410702884e+002°)
1.34896288259164e+003	(1.34418727929888e+001dB,1.79589056436851e+002°)
1.38038426460287e+003	(1.34418691573083e+001dB,1.79579484278423e+002°)
1.41253754462274e+003	(1.34418653502716e+001dB,1.79569689151980e+002°)
1.44543977074591e+003	(1.34418613638015e+001dB,1.79559665863657e+002°)
1.47910838816819e+003	(1.34418571894406e+001dB,1.79549409098589e+002°)
1.51356124843619e+003	(1.34418528183322e+001dB,1.79538913418094e+002°)
1.54881661891247e+003	(1.34418482412026e+001dB,1.79528173256780e+002°)
1.58489319246110e+003	(1.34418434483405e+001dB,1.79517182919601e+002°)
1.62181009735891e+003	(1.34418384295769e+001dB,1.79505936578827e+002°)
1.65958690743754e+003	(1.34418331742634e+001dB,1.79494428270956e+002°)
1.69824365246173e+003	(1.34418276712497e+001dB,1.79482651893551e+002°)
1.73780082874936e+003	(1.34418219088594e+001dB,1.79470601201998e+002°)
1.77827941003891e+003	(1.34418158748660e+001dB,1.79458269806193e+002°)
1.81970085860997e+003	(1.34418095564662e+001dB,1.79445651167151e+002°)
1.86208713666285e+003	(1.34418029402532e+001dB,1.79432738593537e+002°)
1.90546071796323e+003	(1.34417960121881e+001dB,1.79419525238112e+002°)
1.94984459975803e+003	(1.34417887575697e+001dB,1.79406004094102e+002°)
1.99526231496886e+003	(1.34417811610041e+001dB,1.79392167991473e+002°)
2.04173794466951e+003	(1.34417732063711e+001dB,1.79378009593132e+002°)
2.08929613085402e+003	(1.34417648767904e+001dB,1.79363521391025e+002°)
2.13796208950221e+003	(1.34417561545858e+001dB,1.79348695702158e+002°)
2.18776162394953e+003	(1.34417470212474e+001dB,1.79333524664510e+002°)
2.23872113856832e+003	(1.34417374573924e+001dB,1.79318000232868e+002°)
2.29086765276775e+003	(1.34417274427240e+001dB,1.79302114174544e+002°)
2.34422881531990e+003	(1.34417169559879e+001dB,1.79285858065013e+002°)
2.39883291901947e+003	(1.34417059749275e+001dB,1.79269223283433e+002°)
2.45470891568501e+003	(1.34416944762365e+001dB,1.79252201008069e+002°)
2.51188643150955e+003	(1.34416824355090e+001dB,1.79234782211605e+002°)
2.57039578276884e+003	(1.34416698271882e+001dB,1.79216957656352e+002°)
2.63026799189535e+003	(1.34416566245115e+001dB,1.79198717889336e+002°)
2.69153480392689e+003	(1.34416427994539e+001dB,1.79180053237280e+002°)
2.75422870333814e+003	(1.34416283226683e+001dB,1.79160953801461e+002°)
2.81838293126442e+003	(1.34416131634229e+001dB,1.79141409452452e+002°)
2.88403150312658e+003	(1.34415972895362e+001dB,1.79121409824737e+002°)
2.95120922666635e+003	(1.34415806673080e+001dB,1.79100944311203e+002°)
3.01995172040198e+003	(1.34415632614480e+001dB,1.79080002057500e+002°)
3.09029543251356e+003	(1.34415450350008e+001dB,1.79058571956270e+002°)
3.16227766016835e+003	(1.34415259492667e+001dB,1.79036642641244e+002°)
3.23593656929625e+003	(1.34415059637198e+001dB,1.79014202481193e+002°)
3.31131121482588e+003	(1.34414850359215e+001dB,1.78991239573749e+002°)
3.38844156139199e+003	(1.34414631214298e+001dB,1.78967741739066e+002°)
3.46736850452528e+003	(1.34414401737051e+001dB,1.78943696513344e+002°)
3.54813389233572e+003	(1.34414161440106e+001dB,1.78919091142198e+002°)
3.63078054770097e+003	(1.34413909813089e+001dB,1.78893912573867e+002°)
3.71535229097168e+003	(1.34413646321524e+001dB,1.78868147452272e+002°)
3.80189396320557e+003	(1.34413370405699e+001dB,1.78841782109900e+002°)
3.89045144994276e+003	(1.34413081479472e+001dB,1.78814802560530e+002°)
3.98107170553493e+003	(1.34412778929016e+001dB,1.78787194491784e+002°)
4.07380277804108e+003	(1.34412462111513e+001dB,1.78758943257500e+002°)
4.16869383470331e+003	(1.34412130353779e+001dB,1.78730033869934e+002°)
4.26579518801588e+003	(1.34411782950826e+001dB,1.78700450991768e+002°)
4.36515832240161e+003	(1.34411419164357e+001dB,1.78670178927935e+002°)
4.46683592150958e+003	(1.34411038221190e+001dB,1.78639201617254e+002°)
